name,description,color,lat,lon,img,link,bastina
"Agronomski fakultet","Visokoškolska i znanstvena ustanova u sastavu Sveučilišta u Zagrebu.",blue,45.827666041162516,16.03087920895168,https://tehnika.lzmk.hr/wp-content/uploads/2021/02/HTE2_1624.jpg,https://tehnika.lzmk.hr/agronomski-fakultet-u-zagrebu/,Ustanove
"Belišće d. d.","Drvnoindustrijsko poduzeće osnovano 1884. kao obiteljsko poduzeće S. H. Gutmann u Belišću.",blue,45.687670133808055,18.407785208850402,https://tehnika.lzmk.hr/wp-content/uploads/2019/10/HTE2_0244.jpg,https://tehnika.lzmk.hr/belisce-belisce/,Poduzeća
"Borovo d. d.","Poduzeće za proizvodnju i promet obuće, gumarskih i ostalih proizvoda, osnovano 1931. između Vukovara i sela Borova.",blue,45.37434150970419,18.968900675390234,https://tehnika.lzmk.hr/wp-content/uploads/2019/10/HTE2_0202.jpg,https://tehnika.lzmk.hr/borovo-d-d/,Poduzeća
"Brodarski institut","Javna znanstvena ustanova za teorijska i eksperimentalna istraživanja, radove na razvoju brodograđevne industrije, brodarstvo i ratnu mornaricu, osnovana u Zagrebu 1948. kao Brodarski naučni institut.",blue,45.77430194911946,15.979583130829898,https://tehnika.lzmk.hr/wp-content/uploads/2018/02/HTE_0840.jpg,https://tehnika.lzmk.hr/brodarski-institut/,Ustanove
"3. maj brodogradilište d. d.","Jedno od najvećih hrvatskih brodogradilišta, osnovano u Rijeci 1892.",blue,45.338177250226245,14.395521903202507,https://tehnika.lzmk.hr/wp-content/uploads/2018/01/HTE_0575.jpg,https://tehnika.lzmk.hr/3-maj-brodogradiliste/,Poduzeća
"Brodogradilište Kraljevica","Brodogradilište osnovano u Kraljevici 1729.",blue,45.26839772784608,14.570450242329624,https://tehnika.lzmk.hr/wp-content/uploads/2018/01/HTE_0185.jpg,https://tehnika.lzmk.hr/brodogradiliste-kraljevica/,Poduzeća
"Brodosplit d. d.","Jedno od najvećih hrvatskih brodogradilišta, osnovano 1931. u Splitu.",blue,43.524966684715444,16.440485326943147,https://tehnika.lzmk.hr/wp-content/uploads/2018/01/HTE_0672.jpg,https://tehnika.lzmk.hr/brodosplit-d-d/,Poduzeća
"Cedevita d. o. o.","Poduzeće za proizvodnju instantnoga vitaminskog napitka, sa sjedištem u Zagrebu.",blue,45.80977493566972,16.01595236379047,https://tehnika.lzmk.hr/wp-content/uploads/2020/03/HTE2_0587.jpg,https://tehnika.lzmk.hr/cedevita/,Poduzeća
"Čakovečki mlinovi d. d.","Prehrambeno poduzeće osnovano 1893. u Čakovcu, kojemu su najznačajnije djelatnosti mlinarstvo, pekarstvo i proizvodnja bučina ulja.",blue,46.3858374099012,16.435924610879525,https://tehnika.lzmk.hr/wp-content/uploads/2019/05/HTE2_0029.jpg,https://tehnika.lzmk.hr/cakovecki-mlinovi-cakovec/,Poduzeća
"Dukat d. d.","Poduzeće za preradbu mlijeka i proizvodnju mliječnih proizvoda.",blue,45.799191156398955,16.029468373106674,https://tehnika.lzmk.hr/wp-content/uploads/2021/11/HTE2_2567.jpg,https://tehnika.lzmk.hr/dukat-d-d/,Poduzeća
"Đuro Đaković Grupa d. d.","Poduzeće za proizvodnju opreme za industrijska i energetska postrojenja, čeličnih konstrukcija, tračničkih i borbenih oklopnih vozila, poljoprivrednih i građevinskih strojeva i dr., osnovano 1921. sa sjedištem u Slavonskome Brodu.",blue,45.164574353092696,18.01588814652543,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1198.jpg,https://tehnika.lzmk.hr/duro-dakovic-holding-d-d/,Poduzeća
"Ekomuzej batana","Ekomuzej u Rovinju, koji se bavi istraživanjem, prezentacijom i zaštitom maritimne baštine grada Rovinja, a posebice tradicijske brodice  batane.",blue,45.08162719910572,13.632870870809702,https://tehnika.lzmk.hr/wp-content/uploads/2018/02/HTE_0695.jpg,https://tehnika.lzmk.hr/ekomuzej-batana/,Muzeji
"Etnografski muzej","Muzej koji prikuplja, čuva, muzeološki obrađuje, istražuje i izlaže predmete tradicijske kulture.",blue,45.8083652593855,15.969116245007458,https://tehnika.lzmk.hr/wp-content/uploads/2021/05/HTE2_2000.jpg,https://tehnika.lzmk.hr/etnografski-muzej/,Muzeji
